,Company name,"Total assets
m USD
2014","Total assets
m USD
2013","Total assets
m USD
2012","Total assets
m USD
2011","Operating
revenue
(Turnover)
m USD
2014","Operating
revenue
(Turnover)
m USD
2013","Operating
revenue
(Turnover)
m USD
2012","Operating
revenue
(Turnover)
m USD
2011","Number of employees
Last avail. yr","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011"
13798.,MBB HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13799.,LITTLE WOLF HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13800.,KARIAN HOLDINGS NY LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13801.,JP MORGAN SMART RETIREMENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13802.,75 CLINTON HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13803.,CRTM HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13804.,KROLL HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13805.,MFL HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13806.,ICM CAPITAL MARKETS LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13807.,HUBERPROPERTY HOLDINGS LL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13808.,DIL FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13809.,BERKSHIRE HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13810.,43RD STREET HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13811.,STEWARD MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13812.,MARRIS HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13813.,TOWN & COUNTRY HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13814.,SELECT PLEIADES HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13815.,APOLLO PRINCIPAL HOLDINGS GP LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13816.,HUGHES HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13817.,SUNRISE CHECK CASHING & PAYROL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13818.,SYMPHONIC HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13819.,PUBLICIS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13820.,EAST WEST BANK-646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13821.,F J HOLDINGS 1 LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13822.,FIRST NIAGARA BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13823.,AAFE COMMUNITY DEVELOPMENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13824.,TNC US HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13825.,KEYBANK PARKVIEW,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13826.,EVOLVE BANK & TRUST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13827.,BEAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13828.,FIRST NATIONAL BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13829.,CARIDIA HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13830.,AAREAL BANK CAPITAL FUNDING TRUST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13831.,"DREYFUS SERVICE ORGANIZATION, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13832.,JCHSR HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13833.,"INGLESIDE CAPITAL CO., INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13834.,QSI PARTNERS LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13835.,FNBJ HOLDING CORP.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13836.,DEXIA DELAWARE LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13837.,"SCNB FINANCIAL SERVICES, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13838.,MARINER INVESTMENT GROUP LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13839.,"STANDARD NEW YORK SECURITIES, INC",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13840.,TRANCE PACIFIC INSURANCE COMPANY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13841.,TDAM USA INC.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13842.,"FX ALLIANCE, LLC",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13843.,LEVY HOLDINGS INC GRUPPO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13844.,ORGANIC HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13845.,GLOBAL HORIZON HOLDINGS BAHAMAS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13846.,GSS HOLDINGS UPPER COLUMBIA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13847.,BALDWIN RD HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13848.,AMSET HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13849.,AMN MANAGEMENT HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13850.,LUCKY HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13851.,BLACKSMITH HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13852.,ORTON PLANTATION HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13853.,PRESTIGE COMMERCE CENTER LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13854.,MILLER R E HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13855.,JDB HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13856.,CROESUS HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13857.,JP MORGAN LARGE GROWTH FUND,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13858.,J P MORGAN DIRECT CORP FINANCE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13859.,FLOWER HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13860.,JNJ MORTGAGE INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13861.,INTRALINKS HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13862.,JP MORGAN EQUITY INDEX FUND,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13863.,BLUE & WHITE FOOD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13864.,TULLETT PREBON AMERICAS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13865.,JP MORGAN CHASE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13866.,NEIGHBORHOOD TRUST FCU,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13867.,FIRST FINANCIAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13868.,KEYBANK LOVEJOY,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,35,-1,-1
13869.,POM-CLB CHECK CASHING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13870.,PUBLISHERS PAYMENT PROCESSING IN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13871.,SUPERIOR PLUS ENERGY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13872.,UNITED MODIFICATIONS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13873.,BORO REO HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13874.,CANARICK HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13875.,HOUSE HUNTER HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13876.,INTERGLOBE HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13877.,LIQUID KNITS HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13878.,ROCK PROPERTY HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13879.,BORDEN AVE HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13880.,DANIELLE INTERNATIONAL HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13881.,LF NORTH AMERICA HOLDINGS CO INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13882.,RENAISSANCE CAPITAL MANAGEMENT L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13883.,SCHW HOLDINGS LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13884.,PRIMERA HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13885.,WESTCHESTER AVENUE PUB HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13886.,ROYAL HOLDINGS T INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13887.,BEAR STEARNS STRUCTURED PRODUCTS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13888.,ESCROW HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13889.,IDEAL MORTGAGE BANKERS LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13890.,DAHLMAN ROSE LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13891.,DUCA DI MILANO INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13892.,MACQUARIE CORPORATE ASSET FINANCIAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13893.,AMBER SAN ANTONIO HOLDINGS I LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13894.,BANK OF AMERICA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13895.,LEROY PHARMACY HOLDINGS & LICE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13896.,BLADEX HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13897.,M & T BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13898.,ARBOUR HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13899.,VIRGIN GALACTIC LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13900.,RIDGEWOOD SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13901.,MORTGAGES FOR AMERICA LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13902.,HARNET HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13903.,AMERICAN HOME MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13904.,JETRO CASH & CARRY ENTERPRISES LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13905.,CMH BBQ HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13906.,CAMPING WORLD INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13907.,MORT HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13908.,JGM GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13909.,REMAX CAPITAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13910.,CHASE BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13911.,LEO BURNETT USA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13912.,MILESTONE DIVERSIFIED HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13913.,PEOPLES UNITED BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13914.,FAMILY FIRST FCU,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13915.,SCOTTRADE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13916.,MCS MORTGAGE BANKERS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13917.,GRP CAPITAL LLC CAN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13918.,CHASE BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13919.,FAIRPORT SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13920.,SWISS CAPITAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13921.,PATRIOT BEAVER DAM HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13922.,CENTRAL ORLEANS VOLUNTEER AMBULA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13923.,L OCCITANE USA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13924.,NOSTRUM HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13925.,CHASE BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13926.,"FRONTIER CLAIMS SERVICES, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13927.,"HCC INDEMNITY GUARANTY AGENCY, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13928.,BITE COMMUNICATIONS LLC - NEW YORK OFFICE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13929.,THE BLUESHIRT GROUP LLC - NEW YORK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13930.,OUTCAST COMMUNICATIONS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13931.,SAATCHI & SAATCHI X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13932.,SAATCHI & SAATCHI YOUTH CONNECTION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13933.,ADAM GORDON HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13934.,DAIGLE FAMILY HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13935.,CITI ASSET HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13936.,APPLE FUNDING LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13937.,CAMORA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13938.,JP MORGAN US LARGE VALUE PLUS FU,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13939.,CREDIT SMART LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13940.,ADVANCED CAPITAL HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13941.,SHARMA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13942.,STAK HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13943.,WELLS FARGO BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13944.,GUARDIAN FIRST FUNDING GROUP L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13945.,COMMISSION EXPRESS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13946.,GRAYLING GLOBAL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13947.,COUNTRY BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13948.,ZWIRN HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13949.,AUGUSTA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13950.,LB GH I HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13951.,HEADLANDS MORTGAGE CO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13952.,MEADOWRIDGE HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13953.,EAC INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13954.,GLAZIER HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13955.,GUIDANCE MORTGAGE CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13956.,ENTERPRISE PROPERTIES INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13957.,BROOKFIELD MORTGAGE OPPORTUNITY INCOME FUND INC.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13958.,TRIANGLE FUND LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13959.,BNP PARIBAS MORTGAGE CORPORATION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13960.,"NBT SERVICES, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13961.,"CAREER BLAZERS NEW YORK, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13962.,"CAREER BLAZERS PERSONNEL SERVICES, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13963.,"CAREER BLAZERS PERSONNEL SERVICES OF WASHINGTON, D.C., INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13964.,DB INVESTMENT RESOURCES HOLDINGS CORP.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13965.,DB PRIVATE WEALTH MORTGAGE LTD.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13966.,DEUTSCHE BANK AMERICAS FINANCE LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13967.,"RREEF NORTH AMERICAN INFRASTRUCTURE ONSHORE FUND A, L.P.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13968.,KAIROS RESEARCH (US) INC.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13969.,PIONEER ALTERNATIVE INVESTMENTS (NEW YORK) LTD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13970.,DRAWBRIDGE STORAGE HOLDINGS GP L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13971.,DVO HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13972.,FRANCHISEHELP HOLDINGS LL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13973.,SHK HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13974.,SOUTH FORK FUNDING INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13975.,DEFENDANT HMS HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13976.,ROTONDA LAND HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13977.,TAG GROUP HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13978.,PATRIARCH PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13979.,COAST TO COAST SENIOR HOLDINGS L,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13980.,TUNSTALL AMAC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13981.,SUPERIOR PLUS ENERGY SERVICES,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13982.,STUR DEE FUNDING,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13983.,GIANNOPULOS HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13984.,TAILWIND TOWERCO HOLDINGS LLC II,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13985.,DL INTERNATIONAL HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13986.,SELECT ANDEAN HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13987.,RESIDENTIAL HOME FUNDING,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13988.,FUNDINGSTAGE LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13989.,INDUSTRIAL & COMMERCIAL BANK OF CH,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13990.,CENTURION CAPITAL LP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13991.,REPE ARCHSTONE GP HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13992.,MACQUARE HOLDINGS USA INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13993.,CHECKMATE HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13994.,AKR HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13995.,CROMWELL HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13996.,CARDNO TBE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13997.,SACS HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13998.,BENTORIA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13999.,N HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14000.,NEOPOST NY/NJ METRO DISTRICT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14001.,EQUIVENTURE CAPITAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14002.,BAY RIDGE FEDERAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14003.,MIDWEST FUNDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14004.,HOME EQUITY & DEBT SOLUTIONS I,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14005.,IDB REAL ESTATE HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14006.,DREVEN HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14007.,GCAM LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14008.,TKD HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14009.,INTERMEDIA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14010.,VAJRA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14011.,BICENT PRIME HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14012.,KOREA COMMERCIAL BANK OF NY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14013.,INVESTORS SAVINGS BANK #7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14014.,INVESTORS SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14015.,INVESTORS SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14016.,INVESTORS SAVINGS BANK #4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14017.,INVESTORS SAVINGS BANK #8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14018.,INVESTORS SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14019.,INVESTORS SAVINGS BANK #9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14020.,INVESTORS SAVINGS BANK #2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14021.,GUNKS HOLDINGS CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14022.,CHINA CONSTRUCTION BANK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14023.,DB IO LP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14024.,GOLDEN TULIP HOLDING CORP,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
